y_p:  [0.1117, 0.1141, 0.1171, 0.1203, 0.1231, 0.1255, 0.1277, 0.1299, 0.132, 0.134, 0.1362, 0.1383, 0.1404, 0.1426, 0.1444, 0.1461, 0.1479, 0.1496, 0.1514, 0.1531, 0.1548, 0.1565, 0.1581, 0.1597, 0.1612, 0.1627, 0.1642, 0.1656, 0.1669, 0.1682, 0.1695, 0.1707, 0.1718, 0.1729, 0.1739, 0.1749, 0.1759, 0.1769, 0.1778, 0.1788, 0.1798, 0.1807, 0.1817, 0.1826, 0.1836, 0.1846, 0.1855, 0.1865, 0.1874, 0.1884, 0.1894, 0.1903, 0.1913, 0.1922, 0.1932, 0.1942, 0.1951, 0.1961, 0.1971, 0.198, 0.199, 0.1999, 0.2009, 0.2018, 0.2028, 0.2037, 0.2047, 0.2056, 0.2066, 0.2075, 0.2085, 0.2094, 0.2103, 0.2113, 0.2122, 0.2132, 0.2141, 0.215, 0.216, 0.2169, 0.2179, 0.2188, 0.2197, 0.2207, 0.2216, 0.2225, 0.2235, 0.2244, 0.2254, 0.2263, 0.2272, 0.2282, 0.2291, 0.2301, 0.231, 0.2319, 0.2329, 0.2338, 0.2348, 0.2357]
y_p:  [0.2087, 0.2096, 0.2093, 0.2089, 0.2084, 0.2079, 0.2075, 0.2072, 0.207, 0.2068, 0.2063, 0.2058, 0.2053, 0.2046, 0.204, 0.2034, 0.2027, 0.2021, 0.2015, 0.2009, 0.2003, 0.1997, 0.199, 0.1984, 0.1979, 0.1975, 0.197, 0.1966, 0.1961, 0.1957, 0.1953, 0.1948, 0.1944, 0.1942, 0.196, 0.2021, 0.2087, 0.2154, 0.2221, 0.2288, 0.2355, 0.2421, 0.2487, 0.2555, 0.2625, 0.2694, 0.2767, 0.2839, 0.2912, 0.2984, 0.3057, 0.3129, 0.3202, 0.3274, 0.3347, 0.3419, 0.3492, 0.3564, 0.3637, 0.3709, 0.3782, 0.3854, 0.3927, 0.3999, 0.4072, 0.4144, 0.4217, 0.4289, 0.4362, 0.4434, 0.4507, 0.4579, 0.4655, 0.4731, 0.4807, 0.4882, 0.4958, 0.5034, 0.511, 0.5186, 0.5261, 0.5337, 0.5413, 0.5489, 0.5565, 0.5641, 0.5716, 0.5792, 0.5868, 0.5944, 0.602, 0.6095, 0.6171, 0.6247, 0.6323, 0.6399, 0.6474, 0.655, 0.6626, 0.6702]
y_p:  [0.2295, 0.2296, 0.2293, 0.228, 0.2268, 0.2258, 0.2252, 0.2246, 0.224, 0.2234, 0.2228, 0.2222, 0.2216, 0.2209, 0.2199, 0.2176, 0.2151, 0.2126, 0.21, 0.2073, 0.2047, 0.202, 0.1994, 0.1967, 0.1941, 0.1914, 0.1888, 0.1861, 0.1836, 0.1811, 0.1787, 0.1763, 0.1788, 0.1839, 0.1909, 0.1978, 0.2048, 0.2118, 0.2188, 0.2258, 0.2327, 0.2396, 0.2464, 0.2532, 0.26, 0.2668, 0.2735, 0.28, 0.2865, 0.293, 0.2995, 0.306, 0.3125, 0.319, 0.3255, 0.332, 0.3385, 0.345, 0.3515, 0.358, 0.3645, 0.371, 0.3774, 0.3839, 0.3904, 0.3969, 0.4034, 0.4099, 0.4164, 0.4229, 0.4294, 0.4359, 0.4424, 0.4521, 0.4619, 0.4717, 0.4814, 0.4912, 0.501, 0.5108, 0.5206, 0.5303, 0.5401, 0.5499, 0.5597, 0.5695, 0.5793, 0.589, 0.5988, 0.6086, 0.6184, 0.6282, 0.6379, 0.6477, 0.6575, 0.6673, 0.6771, 0.6868, 0.6966, 0.7064]
y_p:  [0.2279, 0.2283, 0.2281, 0.2277, 0.2273, 0.2272, 0.2273, 0.2276, 0.2279, 0.2282, 0.2284, 0.2287, 0.2289, 0.2291, 0.2292, 0.2292, 0.2283, 0.2261, 0.224, 0.221, 0.2176, 0.2142, 0.211, 0.2077, 0.2043, 0.2005, 0.1968, 0.1932, 0.1908, 0.1909, 0.1933, 0.1966, 0.2009, 0.2057, 0.211, 0.2164, 0.2218, 0.2272, 0.2325, 0.2378, 0.2431, 0.2485, 0.2538, 0.2591, 0.2644, 0.2698, 0.2751, 0.2804, 0.2857, 0.2907, 0.2951, 0.2996, 0.3041, 0.3086, 0.313, 0.3175, 0.322, 0.3265, 0.331, 0.3354, 0.3399, 0.3444, 0.3489, 0.3533, 0.3578, 0.3623, 0.3668, 0.3713, 0.3757, 0.3802, 0.3847, 0.3892, 0.3936, 0.3981, 0.4049, 0.42, 0.4351, 0.4502, 0.4653, 0.4805, 0.4956, 0.5107, 0.5258, 0.541, 0.5561, 0.5712, 0.5863, 0.6015, 0.6166, 0.6317, 0.6468, 0.662, 0.6771, 0.6922, 0.7073, 0.7225, 0.7376, 0.7527, 0.7678, 0.783]
y_p:  [0.2308, 0.229, 0.2271, 0.2253, 0.2235, 0.2221, 0.2221, 0.2228, 0.2236, 0.2243, 0.225, 0.2257, 0.2265, 0.2272, 0.2279, 0.2266, 0.2245, 0.2224, 0.2203, 0.2182, 0.2161, 0.2144, 0.2127, 0.211, 0.2094, 0.2077, 0.206, 0.2037, 0.2025, 0.2031, 0.2068, 0.2114, 0.2167, 0.2222, 0.2276, 0.233, 0.2386, 0.2442, 0.2498, 0.2554, 0.261, 0.2666, 0.2722, 0.2779, 0.2835, 0.2891, 0.2947, 0.3003, 0.3058, 0.3114, 0.317, 0.3223, 0.323, 0.3237, 0.3244, 0.3251, 0.3257, 0.3264, 0.3271, 0.3277, 0.3284, 0.3291, 0.3298, 0.3304, 0.3311, 0.3318, 0.3325, 0.3331, 0.3338, 0.3345, 0.3352, 0.3358, 0.3365, 0.3372, 0.3379, 0.3386, 0.3582, 0.3808, 0.4033, 0.4258, 0.4484, 0.471, 0.4935, 0.5161, 0.5386, 0.5612, 0.5837, 0.6063, 0.6288, 0.6514, 0.6739, 0.6965, 0.719, 0.7416, 0.7642, 0.7867, 0.8092, 0.8312, 0.8529, 0.8745]
y_p:  [0.2248, 0.223, 0.2213, 0.2195, 0.2178, 0.2161, 0.2164, 0.2179, 0.2193, 0.2207, 0.2221, 0.2236, 0.225, 0.2265, 0.2246, 0.2227, 0.2208, 0.219, 0.2171, 0.2152, 0.2133, 0.2115, 0.2096, 0.2077, 0.2055, 0.2026, 0.1998, 0.1971, 0.1943, 0.1916, 0.1902, 0.1969, 0.2051, 0.2135, 0.2218, 0.2302, 0.2385, 0.2469, 0.2552, 0.2636, 0.2721, 0.2805, 0.289, 0.2974, 0.3058, 0.3143, 0.3227, 0.3312, 0.3396, 0.3481, 0.3565, 0.365, 0.3727, 0.3687, 0.3646, 0.3605, 0.3563, 0.3522, 0.3481, 0.344, 0.3399, 0.3358, 0.3316, 0.3275, 0.3234, 0.3193, 0.3152, 0.3111, 0.3069, 0.3028, 0.2987, 0.2946, 0.2905, 0.2863, 0.2822, 0.2795, 0.2986, 0.3263, 0.3541, 0.3819, 0.4097, 0.4375, 0.4653, 0.4931, 0.5209, 0.5487, 0.5765, 0.6043, 0.6321, 0.6599, 0.6876, 0.7142, 0.7407, 0.7672, 0.7938, 0.8203, 0.8468, 0.8734, 0.8999, 0.9264]
y_p:  [0.2242, 0.2222, 0.2202, 0.2182, 0.2162, 0.2142, 0.2149, 0.2165, 0.2181, 0.2197, 0.2213, 0.2229, 0.2245, 0.2243, 0.222, 0.2198, 0.2175, 0.2152, 0.213, 0.2104, 0.2078, 0.2051, 0.202, 0.1987, 0.1955, 0.1922, 0.1889, 0.1856, 0.1824, 0.1791, 0.1758, 0.1726, 0.1776, 0.1897, 0.2017, 0.2137, 0.2257, 0.2377, 0.2497, 0.262, 0.2743, 0.2867, 0.299, 0.3113, 0.3237, 0.336, 0.3483, 0.3607, 0.373, 0.3853, 0.3976, 0.41, 0.4223, 0.422, 0.4126, 0.4032, 0.3938, 0.3843, 0.3749, 0.3655, 0.3561, 0.3467, 0.3373, 0.3278, 0.3184, 0.309, 0.2996, 0.2902, 0.2807, 0.2713, 0.2619, 0.2525, 0.2431, 0.24, 0.2484, 0.2568, 0.2808, 0.3065, 0.3362, 0.3659, 0.3957, 0.4254, 0.4552, 0.4849, 0.5146, 0.5444, 0.5741, 0.6039, 0.6336, 0.6633, 0.6915, 0.7197, 0.7479, 0.7761, 0.8043, 0.8325, 0.8607, 0.8889, 0.9171, 0.9453]
y_p:  [0.2274, 0.2252, 0.2232, 0.2212, 0.2192, 0.2175, 0.2189, 0.2204, 0.2219, 0.2233, 0.2248, 0.2263, 0.2277, 0.2292, 0.2258, 0.2223, 0.2188, 0.2153, 0.2118, 0.2083, 0.2048, 0.2008, 0.1966, 0.1924, 0.1882, 0.184, 0.1798, 0.1756, 0.1714, 0.1673, 0.1631, 0.1589, 0.1547, 0.1643, 0.1791, 0.1939, 0.2088, 0.2237, 0.2391, 0.2545, 0.2699, 0.2854, 0.3008, 0.3162, 0.3317, 0.3471, 0.3625, 0.378, 0.3934, 0.4088, 0.4242, 0.4397, 0.4551, 0.4606, 0.4475, 0.434, 0.4205, 0.4071, 0.3936, 0.3801, 0.3666, 0.3531, 0.3396, 0.3262, 0.3127, 0.2992, 0.2857, 0.2722, 0.2587, 0.2453, 0.2318, 0.2183, 0.221, 0.2285, 0.236, 0.2509, 0.2765, 0.302, 0.3324, 0.3628, 0.3932, 0.4236, 0.454, 0.4845, 0.5149, 0.5453, 0.5757, 0.6061, 0.6365, 0.6649, 0.6931, 0.7214, 0.7497, 0.778, 0.8063, 0.8346, 0.8629, 0.8911, 0.9194, 0.9477]
y_p:  [0.2287, 0.2266, 0.2244, 0.2223, 0.2201, 0.2198, 0.2213, 0.2228, 0.2243, 0.2258, 0.2273, 0.2288, 0.2303, 0.2318, 0.2308, 0.2266, 0.2225, 0.2183, 0.2141, 0.21, 0.2053, 0.2003, 0.1954, 0.1904, 0.1855, 0.1805, 0.1756, 0.1706, 0.1657, 0.1607, 0.1558, 0.1508, 0.1458, 0.1451, 0.1616, 0.1782, 0.1949, 0.2124, 0.2298, 0.2473, 0.2647, 0.2822, 0.2996, 0.3171, 0.3345, 0.352, 0.3694, 0.3869, 0.4043, 0.4218, 0.4392, 0.4567, 0.4741, 0.4723, 0.463, 0.4498, 0.4365, 0.4224, 0.4065, 0.3906, 0.3747, 0.3588, 0.3429, 0.327, 0.311, 0.2951, 0.2792, 0.2633, 0.2474, 0.2315, 0.2156, 0.2071, 0.214, 0.221, 0.228, 0.2478, 0.2736, 0.2993, 0.33, 0.3608, 0.3915, 0.4223, 0.4531, 0.4839, 0.5146, 0.5454, 0.5762, 0.607, 0.6377, 0.666, 0.6943, 0.7226, 0.7508, 0.7791, 0.8073, 0.8356, 0.8638, 0.8921, 0.9203, 0.9486]
y_p:  [0.229, 0.2269, 0.2247, 0.2225, 0.2204, 0.2207, 0.2223, 0.2239, 0.2256, 0.2272, 0.2288, 0.2304, 0.232, 0.2336, 0.2352, 0.2305, 0.2257, 0.221, 0.2163, 0.2116, 0.2069, 0.2016, 0.1959, 0.1903, 0.1846, 0.179, 0.1733, 0.1677, 0.1621, 0.1564, 0.1508, 0.1452, 0.1395, 0.1366, 0.1538, 0.1711, 0.1891, 0.2073, 0.2256, 0.2439, 0.2622, 0.2805, 0.2988, 0.3171, 0.3354, 0.3537, 0.372, 0.3903, 0.4085, 0.4268, 0.4451, 0.4634, 0.4791, 0.4713, 0.4591, 0.4469, 0.4347, 0.4225, 0.4103, 0.3981, 0.3859, 0.3677, 0.3495, 0.3313, 0.3132, 0.295, 0.2768, 0.2586, 0.2404, 0.2223, 0.2041, 0.2077, 0.2141, 0.2206, 0.227, 0.2482, 0.2739, 0.2995, 0.33, 0.3609, 0.3918, 0.4227, 0.4536, 0.4845, 0.5154, 0.5463, 0.5772, 0.6081, 0.639, 0.667, 0.6949, 0.7229, 0.7508, 0.7788, 0.8067, 0.8347, 0.8626, 0.8905, 0.9185, 0.9464]
